,val_loss,val_dense_3_loss,val_dense_4_loss,val_dense_5_loss,val_dense_3_accuracy,val_dense_4_accuracy,val_dense_5_accuracy,loss,dense_3_loss,dense_4_loss,dense_5_loss,dense_3_accuracy,dense_4_accuracy,dense_5_accuracy,lr
0,13.855768203735352,10.031492233276367,2.6883976459503174,1.0657709836959839,0.055889423936605453,0.5205328464508057,0.7259114384651184,6.574755350414075,4.461200714111328,1.1669566631317139,0.9452000856399536,0.07501385360956192,0.6422770023345947,0.7066038846969604,0.0010000000474974513
1,10.82907772064209,7.584366798400879,1.371891975402832,0.8927929401397705,0.18942908942699432,0.6820153594017029,0.7857070565223694,3.028145921129005,2.08941388130188,0.5391213893890381,0.39961156249046326,0.43720123171806335,0.833392322063446,0.8756639361381531,0.0010000000474974513
2,6.010614395141602,3.915802001953125,0.9983441233634949,0.5550012588500977,0.36589670181274414,0.7773855328559875,0.8563143014907837,1.8551824617095272,1.1677442789077759,0.3952169120311737,0.29427364468574524,0.677008330821991,0.8843933343887329,0.9108919501304626,0.0010000000474974513
3,3.9292211532592773,2.495626449584961,0.6219393610954285,0.5839405059814453,0.5084728598594666,0.8421928882598877,0.8695783615112305,1.455892230649404,0.8777033686637878,0.33567872643470764,0.24324214458465576,0.7574071884155273,0.9036731123924255,0.9264598488807678,0.0010000000474974513
4,3.2038371562957764,1.8025405406951904,1.0545990467071533,0.35051408410072327,0.6208896636962891,0.7967520952224731,0.9137079119682312,1.2703986390502169,0.7491883039474487,0.30373966693878174,0.21969617903232574,0.7933739423751831,0.9141440391540527,0.9343213438987732,0.0010000000474974513
5,1.836931824684143,1.0965983867645264,0.3011331558227539,0.27898970246315,0.7468730807304382,0.9184991121292114,0.9225338101387024,1.132914210821453,0.660042941570282,0.27548468112945557,0.19842350482940674,0.817939043045044,0.9222991466522217,0.9415124654769897,0.0010000000474974513
6,2.255551338195801,1.6601568460464478,0.6169670820236206,0.39155879616737366,0.6436856985092163,0.870990514755249,0.9050332903862,1.0418671576296523,0.6033837199211121,0.2530682384967804,0.185586616396904,0.8331578969955444,0.9280997514724731,0.945035994052887,0.0010000000474974513
7,2.0083024501800537,1.2573076486587524,0.548824667930603,0.43751096725463867,0.7201432585716248,0.8778999447822571,0.9006455540657043,0.9968581892552468,0.5707021355628967,0.2510392665863037,0.17599457502365112,0.8432298898696899,0.9296287894248962,0.9477784037590027,0.0010000000474974513
8,1.1689194440841675,0.7724865674972534,0.30356162786483765,0.19801494479179382,0.812991738319397,0.9246015548706055,0.9497175812721252,0.9389517951817393,0.5402994751930237,0.23269769549369812,0.16837631165981293,0.8516842126846313,0.9348199367523193,0.9504930973052979,0.0010000000474974513
9,1.2214055061340332,0.7698872089385986,0.23084735870361328,0.20883826911449432,0.812083899974823,0.9353944063186646,0.9466410875320435,0.8849249886224805,0.5038220286369324,0.22281934320926666,0.15915246307849884,0.8608421087265015,0.9381329417228699,0.9525983333587646,0.0010000000474974513
