,val_loss,val_dense_2_loss,val_dense_3_loss,val_dense_4_loss,val_dense_2_accuracy,val_dense_3_accuracy,val_dense_4_accuracy,loss,dense_2_loss,dense_3_loss,dense_4_loss,dense_2_accuracy,dense_3_accuracy,dense_4_accuracy
0,1.1511030197143555,0.8214993476867676,0.18057112395763397,0.1305525004863739,0.7637219429016113,0.9450621008872986,0.9595352411270142,1.7238304280694416,1.0703551769256592,0.38294413685798645,0.27053120732307434,0.7014540433883667,0.8854461908340454,0.9194239377975464
1,0.7006455659866333,0.4035208225250244,0.14167356491088867,0.0993819460272789,0.8865745663642883,0.9611660242080688,0.9701432585716248,1.2048177294215998,0.6967821717262268,0.2982907295227051,0.2121458351612091,0.8070581555366516,0.9148421287536621,0.9389473795890808
2,0.7023006677627563,0.38109177350997925,0.12844254076480865,0.09056287258863449,0.8867762684822083,0.9642929434776306,0.9730179309844971,1.0085554922346924,0.569628119468689,0.25589719414711,0.18426303565502167,0.84256511926651,0.927994430065155,0.9472797513008118
3,0.6884292364120483,0.33428964018821716,0.10398545861244202,0.09752511233091354,0.9045794010162354,0.9713536500930786,0.97004234790802,0.8863703872648963,0.4912767708301544,0.23123466968536377,0.16402044892311096,0.8639556765556335,0.9349750876426697,0.9528864026069641
4,0.5896852016448975,0.3677011728286743,0.12731358408927917,0.0997549444437027,0.9004942774772644,0.9641416072845459,0.9698406457901001,0.8290543380853542,0.4574041962623596,0.21867384016513824,0.15379415452480316,0.8742603659629822,0.938770055770874,0.9557839632034302
5,0.4864511489868164,0.2898445129394531,0.10339822620153427,0.07075665891170502,0.9170869588851929,0.9703449606895447,0.9790700078010559,0.7742435604079608,0.4252493977546692,0.20465883612632751,0.1449545919895172,0.8841606378555298,0.9427922368049622,0.958520770072937
6,0.3254122734069824,0.2937799394130707,0.08195231109857559,0.07587380707263947,0.9171373844146729,0.9776074290275574,0.9791204333305359,0.7272861731864739,0.39687448740005493,0.19568543136119843,0.1358029693365097,0.8906370997428894,0.9456399083137512,0.9610360264778137
7,0.44181740283966064,0.27500200271606445,0.08390036970376968,0.06740573048591614,0.9249041676521301,0.9788682460784912,0.9803308248519897,0.6873392767959025,0.3724098205566406,0.18514586985111237,0.12956564128398895,0.8965650796890259,0.9486204981803894,0.9635623097419739
8,0.2821486294269562,0.2484786957502365,0.086719810962677,0.06968298554420471,0.9276276230812073,0.9766995906829834,0.9786665439605713,0.670959488078828,0.36362048983573914,0.18131135404109955,0.12817731499671936,0.9002271294593811,0.9490914344787598,0.9634736776351929
9,0.4280489683151245,0.2605096697807312,0.07918690890073776,0.06304152309894562,0.9283336400985718,0.9790195822715759,0.9814403653144836,0.6329214065424954,0.3410680294036865,0.17337393760681152,0.119048573076725,0.9057118892669678,0.952299177646637,0.9658670425415039
10,0.39749059081077576,0.2505817413330078,0.07586221396923065,0.058711692690849304,0.9317631721496582,0.9801291227340698,0.9828525185585022,0.6112757785089128,0.32769545912742615,0.16952799260616302,0.11676991730928421,0.9100332260131836,0.9528974890708923,0.9670581817626953
11,0.27020782232284546,0.22430545091629028,0.07238549739122391,0.059543125331401825,0.9386726021766663,0.9804821610450745,0.9823482036590576,0.5908918034667123,0.31536704301834106,0.16110384464263916,0.11565068364143372,0.9122326970100403,0.9551578760147095,0.9672132730484009
12,0.418053537607193,0.24757446348667145,0.13103808462619781,0.06599066406488419,0.9312587976455688,0.9616199135780334,0.9796247482299805,0.5800939829501419,0.31195423007011414,0.16040045022964478,0.10924277454614639,0.9139224290847778,0.9554016590118408,0.9689196944236755
13,0.3018181324005127,0.22207561135292053,0.07575393468141556,0.06347741931676865,0.9383195638656616,0.9789186716079712,0.9814403653144836,0.5360168170453439,0.2863297164440155,0.14736704528331757,0.10296554118394852,0.9202603697776794,0.9591357111930847,0.9709362983703613
14,0.39897167682647705,0.2459409236907959,0.09563124179840088,0.07119116187095642,0.933881402015686,0.9748839735984802,0.977859616279602,0.5231036409341067,0.2782650589942932,0.14330138266086578,0.10136577486991882,0.922819972038269,0.9607313275337219,0.9709861278533936
15,0.4170357882976532,0.227529838681221,0.07467538863420486,0.06295965611934662,0.9368569850921631,0.9812386631965637,0.9830038547515869,0.5149471875240929,0.27189674973487854,0.14319831132888794,0.10096169263124466,0.9245374202728271,0.9609529376029968,0.9709972143173218
16,0.3892800211906433,0.2410062700510025,0.12333235144615173,0.06420807540416718,0.9319648742675781,0.9625781774520874,0.9814403653144836,0.4931226435830388,0.26099738478660583,0.1364336609840393,0.09619543701410294,0.9270415306091309,0.9617285132408142,0.9726204872131348
17,0.23561717569828033,0.20729461312294006,0.06929357349872589,0.0676911398768425,0.9431611895561218,0.9824994802474976,0.9794734716415405,0.4824054524799463,0.25241804122924805,0.13636410236358643,0.09423833340406418,0.9298725724220276,0.9620941877365112,0.9735124707221985
18,0.22667750716209412,0.21843788027763367,0.07347361743450165,0.06382281333208084,0.9416986107826233,0.9815412759780884,0.9823482036590576,0.4713433793495897,0.24562086164951324,0.13348159193992615,0.0920114815235138,0.930886447429657,0.9629141092300415,0.9739888906478882
19,0.3285023272037506,0.2067951112985611,0.07142337411642075,0.05850373953580856,0.9431611895561218,0.9817429780960083,0.9840629696846008,0.4622895168597678,0.24219797551631927,0.1310688704252243,0.08918291330337524,0.931833803653717,0.9627977609634399,0.9744431972503662
